"name","accept_rate","Outstate","Enroll","Grad.Rate","Private","isElite"
"Mount Saint Mary's College",0.877365632096896,12850,328,80,"Yes","Not Elite"
"Mount Saint Mary College",0.594017094017094,7470,238,88,"Yes","Not Elite"
"Mount St. Mary's College",0.817351598173516,12474,113,72,"Yes","Not Elite"
"Mount Union College",0.829007633587786,12250,458,81,"Yes","Not Elite"
"Mount Vernon Nazarene College",0.950980392156863,7400,334,58,"Yes","Not Elite"
"Muhlenberg College",0.728860658991663,16975,462,83,"Yes","Not Elite"
"Murray State University",0.858426966292135,4738,1190,52,"No","Not Elite"
"Muskingum College",0.831379621280433,13240,375,73,"Yes","Not Elite"
"National-Louis University",0.676413255360624,9090,279,71,"Yes","Not Elite"
"Nazareth College of Rochester",0.842661034846885,10850,266,61,"Yes","Not Elite"
"New Jersey Institute of Technology",0.647152740819585,8832,483,72,"No","Not Elite"
"New Mexico Institute of Mining and Tech.",0.763659466327827,5376,233,34,"No","Not Elite"
"New York University",0.532882153891423,17748,2505,71,"Yes","Elite"
"Newberry College",0.827981651376147,10194,154,83,"Yes","Not Elite"
"Niagara University",0.809009009009009,10320,467,65,"Yes","Elite"
"North Adams State College",0.64299424184261,5542,240,57,"No","Not Elite"
"North Carolina A. & T. State University",0.642337284258682,6806,1429,44,"No","Not Elite"
"North Carolina State University at Raleigh",0.664284370885838,8400,3176,62,"No","Not Elite"
"North Carolina Wesleyan College",0.848522167487685,8242,195,52,"Yes","Not Elite"
"North Central College",0.784383318544809,11718,308,76,"Yes","Not Elite"
"North Dakota State University",0.773921832884097,5834,1610,42,"No","Not Elite"
"North Park College",0.776344086021505,12580,176,74,"Yes","Not Elite"
"Northeast Missouri State University",0.757781456953642,4856,1620,76,"No","Not Elite"
"Northeastern University",0.713553482900597,13380,2517,46,"Yes","Not Elite"
"Northern Arizona University",0.837039551858768,6746,1973,41,"No","Not Elite"
"Northern Illinois University",0.674294787969363,7799,2397,56,"No","Not Elite"
"Northwest Missouri State University",0.928911689263466,3735,1257,54,"No","Not Elite"
"Northwest Nazarene College",0.834415584415584,9840,385,58,"Yes","Not Elite"
"Northwestern College",0.943023255813954,9900,366,68,"Yes","Not Elite"
"Northwestern University",0.423142647896493,16404,1902,92,"Yes","Elite"
"Norwich University",0.932300631095812,14134,626,63,"Yes","Not Elite"
"Notre Dame College",0.854881266490765,9990,107,33,"Yes","Not Elite"
"Oakland University",0.848733969089115,9114,1173,53,"No","Not Elite"
"Oberlin College",0.579112599413981,19670,678,83,"Yes","Not Elite"
"Occidental College",0.567555938037866,16560,370,79,"Yes","Elite"
"Oglethorpe University",0.819444444444444,12900,186,67,"Yes","Elite"
"Ohio Northern University",0.797683923705722,15990,669,83,"Yes","Not Elite"
"Ohio University",0.752789621700082,7629,3183,64,"No","Not Elite"
"Ohio Wesleyan University",0.776255707762557,16732,458,75,"Yes","Not Elite"
"Oklahoma Baptist University",0.898416886543536,5390,484,50,"Yes","Not Elite"
"Oklahoma Christian University",0.985824742268041,6400,351,45,"Yes","Not Elite"
"Oklahoma State University",0.865325077399381,5336,2181,48,"No","Not Elite"
"Otterbein College",0.80548128342246,12888,428,87,"Yes","Not Elite"
"Ouachita Baptist University",0.849450549450549,6530,450,65,"Yes","Not Elite"
"Our Lady of the Lake University",0.578856152512998,8530,295,37,"Yes","Not Elite"
"Pace University",0.45421511627907,11000,1522,62,"Yes","Not Elite"
"Pacific Lutheran University",0.868371802869619,13312,504,83,"Yes","Not Elite"
"Pacific Union College",0.71063829787234,11925,385,69,"Yes","Not Elite"
"Pacific University",0.900318133616119,14210,288,42,"Yes","Not Elite"
"Pembroke State University",0.819915254237288,6360,440,48,"No","Not Elite"
"Pennsylvania State Univ. Main Campus",0.535542324618172,10645,3450,63,"No","Not Elite"
"Pepperdine University",0.533106516618686,18200,680,66,"Yes","Elite"
"Peru State College",0.714693295292439,2580,458,44,"No","Not Elite"
"Pfeiffer College",0.776849642004773,8640,159,48,"Yes","Not Elite"
"Philadelphia Coll. of Textiles and Sci.",0.818595578673602,11690,468,68,"Yes","Not Elite"
"Phillips University",0.832369942196532,10500,174,39,"Yes","Not Elite"
"Piedmont College",0.847662141779789,5640,127,31,"Yes","Not Elite"
"Pikeville College",0.99009900990099,6000,169,61,"Yes","Not Elite"
"Pitzer College",0.556045895851721,17688,220,73,"Yes","Not Elite"
"Point Loma Nazarene College",0.849196538936959,10178,428,54,"Yes","Not Elite"
"Point Park College",0.850285714285714,9700,207,66,"Yes","Not Elite"
"Polytechnic University",0.748233215547703,16200,302,62,"Yes","Elite"
"Prairie View A. and M. University",0.928898128898129,4290,1061,35,"No","Not Elite"
"Presbyterian College",0.768946395563771,11859,302,85,"Yes","Not Elite"
"Princeton University",0.154486306551672,19900,1153,99,"Yes","Elite"
"Providence College",0.651099435687877,14400,973,96,"Yes","Not Elite"
"Purdue University at West Lafayette",0.859658778205834,9556,5874,67,"No","Not Elite"
"Queens College",0.75968992248062,11020,154,58,"Yes","Not Elite"
"Quincy University",0.689756097560976,10100,297,80,"Yes","Not Elite"
"Quinnipiac College",0.580010775862069,12030,806,86,"Yes","Not Elite"
"Radford University",0.858295334970186,6684,1742,62,"No","Not Elite"
"Ramapo College of New Jersey",0.458333333333333,4449,362,47,"No","Not Elite"
"Randolph-Macon College",0.748164878599661,13840,306,74,"Yes","Not Elite"
"Randolph-Macon Woman's College",0.885057471264368,13970,169,68,"Yes","Not Elite"
"Reed College",0.730417090539166,19960,327,68,"Yes","Not Elite"
"Regis College",0.901639344262295,12700,143,84,"Yes","Not Elite"
"Rensselaer Polytechnic Institute",0.833666933546838,17475,936,70,"Yes","Elite"
"Rhodes College",0.795395308427454,15200,391,77,"Yes","Elite"
"Rider University",0.675962074735081,13250,730,70,"Yes","Not Elite"
"Ripon College",0.853492333901193,15200,211,64,"Yes","Not Elite"
"Rivier College",0.797520661157025,9870,141,81,"Yes","Not Elite"
"Roanoke College",0.803771890435564,13425,437,72,"Yes","Not Elite"
"Rockhurst College",0.917647058823529,9490,345,79,"Yes","Not Elite"
"Rocky Mountain College",0.7,8734,270,68,"Yes","Not Elite"
"Roger Williams University",0.848668280871671,12520,679,61,"Yes","Not Elite"
"Rollins College",0.647720877884074,16425,382,90,"Yes","Not Elite"
"Rosary College",0.73963133640553,10950,141,81,"Yes","Not Elite"
"Rowan College of New Jersey",0.374607329842932,4356,695,51,"No","Not Elite"
"Rutgers at New Brunswick",0.547469538819811,7410,4520,77,"No","Not Elite"
"Rutgers State University at Camden",0.520499108734403,7411,232,57,"No","Not Elite"
"Rutgers State University at Newark",0.464995678478825,7410,499,58,"No","Not Elite"
"Sacred Heart University",0.82184655396619,11070,509,82,"Yes","Not Elite"
"Saint Ambrose University",0.800445930880713,10450,276,70,"Yes","Not Elite"
"Saint Anselm College",0.741288782816229,12950,514,97,"Yes","Not Elite"
"Saint Cloud State University",0.832535885167464,4259,1921,58,"No","Not Elite"
"Saint Francis College IN",0.779342723004695,8670,85,48,"Yes","Not Elite"
"Saint Francis College",0.787762906309751,10880,284,69,"Yes","Not Elite"
"Saint John's University",0.857449088960343,12247,444,70,"Yes","Not Elite"
"Saint Joseph's College IN",0.743478260869565,11200,225,67,"Yes","Not Elite"
"Saint Joseph's College",0.818727490996399,9985,217,85,"Yes","Not Elite"
"Saint Joseph's University",0.795156808257245,12750,776,83,"Yes","Not Elite"
"Saint Joseph College",0.825342465753425,12200,96,76,"Yes","Not Elite"
"Saint Louis University",0.866727383120826,11690,956,67,"Yes","Not Elite"
"Saint Mary's College",0.826576576576577,12730,393,98,"Yes","Not Elite"
"Saint Mary's College of Minnesota",0.915525114155251,10800,367,78,"Yes","Not Elite"
"Saint Mary-of-the-Woods College",0.866666666666667,10300,88,75,"Yes","Not Elite"
"Saint Michael's College",0.722513089005236,13030,463,84,"Yes","Not Elite"
"Saint Olaf College",0.744217081850534,14350,745,83,"Yes","Not Elite"
"Saint Peter's College",0.879825653798257,9408,530,53,"Yes","Not Elite"
"Saint Vincent College",0.85,10850,278,88,"Yes","Not Elite"
"Saint Xavier University",0.824203821656051,10860,295,55,"Yes","Not Elite"
"Salem-Teikyo University",0.785276073619632,10575,120,98,"Yes","Not Elite"
"Salem College",0.847761194029851,10475,132,60,"Yes","Not Elite"
"Salisbury State University",0.543168880455408,5130,736,56,"No","Not Elite"
"Samford University",0.830357142857143,8236,691,61,"Yes","Not Elite"
"San Diego State University",0.746649649010849,8384,2151,41,"No","Not Elite"
"Santa Clara University",0.691465538691217,13584,888,100,"Yes","Not Elite"
"Sarah Lawrence College",0.556521739130435,19300,263,83,"Yes","Elite"
"Savannah Coll. of Art and Design",0.620378719567178,8325,386,55,"Yes","Not Elite"
"Schreiner College",0.707191780821918,8955,131,52,"Yes","Not Elite"
"Scripps College",0.739181286549708,17238,139,73,"Yes","Elite"
"Seattle Pacific University",0.85883347421809,12669,411,66,"Yes","Not Elite"
"Seattle University",0.728132387706856,12825,494,89,"Yes","Not Elite"
"Seton Hall University",0.779064685314685,12000,1000,64,"Yes","Not Elite"
"Seton Hill College",0.848290598290598,11240,197,71,"Yes","Not Elite"
"Shippensburg University of Penn.",0.563939498109316,7844,1116,72,"No","Not Elite"
"Shorter College",0.824074074074074,7210,165,58,"Yes","Not Elite"
"Siena College",0.652482269503546,10800,628,100,"Yes","Not Elite"
"Siena Heights College",0.90301724137931,9240,183,47,"Yes","Not Elite"
"Simmons College",0.779661016949153,16160,295,79,"Yes","Not Elite"
"Simpson College",0.858267716535433,11250,300,70,"Yes","Not Elite"
"Sioux Falls College",0.91533180778032,8990,211,48,"Yes","Not Elite"
"Skidmore College",0.635453063126019,18710,591,81,"Yes","Not Elite"
"Smith College",0.546324786324786,18820,632,90,"Yes","Elite"
"South Dakota State University",0.922337014606341,3811,1701,67,"No","Not Elite"
"Southeast Missouri State University",0.819815870232354,4680,1408,45,"No","Not Elite"
"Southeastern Oklahoma State Univ.",0.855745721271394,3738,447,53,"No","Not Elite"
"Southern California College",0.883116883116883,9520,193,43,"Yes","Not Elite"
"Southern Illinois University at Edwardsville",0.864173228346457,5472,994,43,"No","Not Elite"
"Southern Methodist University",0.803301557777261,12772,1166,72,"Yes","Not Elite"
"Southwest Baptist University",1,7070,642,71,"Yes","Not Elite"
"Southwest Missouri State University",0.858777378228179,4740,3204,56,"No","Not Elite"
"Southwest State University",0.895893027698185,4285,511,51,"No","Not Elite"
"Southwestern Adventist College",0.990654205607477,7536,172,36,"Yes","Not Elite"
"Southwestern College",0.727699530516432,7200,75,52,"Yes","Not Elite"
"Southwestern University",0.733118971061093,11850,352,67,"Yes","Not Elite"
"Spalding University",0.710247349823322,8400,97,89,"Yes","Not Elite"
"Spelman College",0.333153784002155,7000,443,65,"Yes","Not Elite"
"Spring Arbor College",0.973118279569892,8600,181,49,"Yes","Not Elite"
"St. Bonaventure University",0.881799865681666,10456,375,78,"Yes","Not Elite"
"St. John's College",0.860681114551084,16150,122,64,"Yes","Not Elite"
"St. John Fisher College",0.777777777777778,10570,354,66,"Yes","Not Elite"
"St. Lawrence University",0.661096985107156,18720,505,85,"Yes","Not Elite"
"St. Martin's College",0.863874345549738,11550,63,40,"Yes","Not Elite"
"St. Mary's College of California",0.609534619750284,13332,465,78,"Yes","Not Elite"
"St. Mary's College of Maryland",0.51865671641791,6800,285,63,"No","Not Elite"
"St. Mary's University of San Antonio",0.82059533386967,8678,414,72,"Yes","Not Elite"
"St. Norbert College",0.931784107946027,12140,568,88,"Yes","Not Elite"
"St. Paul's College",0.89247311827957,5000,243,45,"Yes","Not Elite"
"St. Thomas Aquinas College",0.707317073170732,8650,215,67,"Yes","Not Elite"
"Stephens College",0.9,13900,194,59,"Yes","Not Elite"
"Stetson University",0.788053949903661,12315,489,73,"Yes","Not Elite"
"Stevens Institute of Technology",0.706447963800905,16900,380,79,"Yes","Elite"
"Stockton College of New Jersey",0.392883801940781,3040,710,64,"No","Not Elite"
"Stonehill College",0.630828304991772,12170,585,97,"Yes","Not Elite"
"SUNY at Albany",0.679923122412774,6550,1843,74,"No","Not Elite"
"SUNY at Binghamton",0.426329253958377,6550,1757,80,"No","Elite"
"SUNY at Buffalo",0.641598510539265,6550,3087,56,"No","Not Elite"
"SUNY at Stony Brook",0.556985294117647,6550,1724,57,"No","Not Elite"
"SUNY College  at Brockport",0.488620784206197,6550,904,49,"No","Not Elite"
"SUNY College  at Oswego",0.5695,6550,1464,63,"No","Not Elite"
"SUNY College at Buffalo",0.660962767957879,6550,1025,42,"No","Not Elite"
"SUNY College at Cortland",0.446120689655172,6550,1036,53,"No","Not Elite"
"SUNY College at Fredonia",0.5737133483699,6550,814,66,"No","Not Elite"
"SUNY College at Geneseo",0.530588508955571,6550,1143,76,"No","Elite"
"SUNY College at New Paltz",0.429694011191809,6550,656,53,"No","Not Elite"
"SUNY College at Plattsburgh",0.645701928275365,6550,853,65,"No","Not Elite"
"SUNY College at Potsdam",0.726666666666667,6840,650,59,"No","Not Elite"
"SUNY College at Purchase",0.596507786691836,6550,390,46,"No","Not Elite"
"Susquehanna University",0.721374045801527,16130,465,90,"Yes","Not Elite"
"Sweet Briar College",0.87012987012987,14500,146,61,"Yes","Not Elite"
"Syracuse University",0.692946454137635,15150,2442,67,"Yes","Not Elite"
"Tabor College",0.712062256809339,7850,109,53,"Yes","Not Elite"
"Talladega College",0.339827820570911,5666,335,46,"Yes","Not Elite"
"Taylor University",0.617297908422838,10965,437,98,"Yes","Not Elite"
"Tennessee Wesleyan College",0.78448275862069,7070,99,36,"Yes","Not Elite"
"Texas A&M Univ. at College Station",0.726751416332735,5130,6392,69,"No","Not Elite"
"Texas A&M University at Galveston",0.909262759924386,4860,243,43,"No","Not Elite"
"Texas Christian University",0.751892551892552,8490,1195,64,"Yes","Not Elite"
"Texas Lutheran College",0.851106639839034,7850,215,50,"Yes","Not Elite"
"Texas Southern University",0.746835443037975,7860,2604,10,"No","Not Elite"
"Texas Wesleyan University",0.846283783783784,6400,279,43,"Yes","Not Elite"
"The Citadel",0.828,7070,611,84,"No","Not Elite"
"Thiel College",0.824090121317158,11172,253,60,"Yes","Not Elite"
"Tiffin University",0.868639053254438,7600,254,39,"Yes","Not Elite"
"Transylvania University",0.960474308300395,10900,244,70,"Yes","Elite"
"Trenton State College",0.458548195160651,5391,944,81,"No","Elite"
"Tri-State University",0.873217115689382,9456,276,65,"Yes","Not Elite"
"Trinity College CT",0.587965990843689,18810,478,91,"Yes","Not Elite"
"Trinity College DC",0.765182186234818,11412,100,96,"Yes","Not Elite"
"Trinity College VT",0.833333333333333,11010,91,78,"Yes","Not Elite"
"Trinity University",0.749690721649485,12240,601,93,"Yes","Elite"
"Tulane University",0.728707521683492,19040,1223,74,"Yes","Not Elite"
"Tusculum College",0.594249201277955,7700,145,52,"Yes","Not Elite"
"Tuskegee University",0.80591089545655,6735,611,65,"Yes","Not Elite"
"Union College KY",0.793388429752066,7800,177,64,"Yes","Not Elite"
"Union College NY",0.489842632331903,18732,528,88,"Yes","Not Elite"
"Univ. of Wisconsin at OshKosh",0.604166666666667,6874,1515,56,"No","Not Elite"
"University of Alabama at Birmingham",0.701168614357262,4440,938,33,"No","Not Elite"
"University of Arkansas at Fayetteville",0.960741885625966,5028,2133,39,"No","Not Elite"
"University of California at Berkeley",0.415236753383988,11648,3215,78,"No","Elite"
"University of California at Irvine",0.686393171104599,12024,2478,66,"No","Elite"
"University of Central Florida",0.423561408531348,6618,1918,46,"No","Not Elite"
"University of Charleston",0.784457478005865,9500,204,57,"Yes","Not Elite"
"University of Chicago",0.472432262129805,18930,922,90,"Yes","Elite"
"University of Cincinnati",0.810065645514223,8907,2408,54,"No","Not Elite"
"University of Connecticut at Storrs",0.738263995891115,11656,2064,71,"No","Not Elite"
"University of Dallas",0.863436123348018,10760,246,63,"Yes","Not Elite"
"University of Dayton",0.832101870775035,11380,1507,93,"Yes","Not Elite"
"University of Delaware",0.727952374359684,10220,3252,75,"Yes","Not Elite"
"University of Denver",0.672831203765972,15192,580,67,"Yes","Not Elite"
"University of Detroit Mercy",0.78856526429342,11130,415,51,"Yes","Not Elite"
"University of Dubuque",0.96875,10430,137,45,"Yes","Not Elite"
"University of Evansville",0.775763358778626,11800,694,77,"Yes","Not Elite"
"University of Florida",0.710004017677782,7090,3623,66,"No","Elite"
"University of Georgia",0.701515151515152,5697,3320,63,"No","Not Elite"
"University of Hartford",0.795119071049006,14220,1194,66,"Yes","Not Elite"
"University of Hawaii at Manoa",0.727094972067039,4460,1627,54,"No","Not Elite"
"University of Illinois - Urbana",0.779971885668385,7560,5705,81,"No","Elite"
"University of Illinois at Chicago",0.683086832061069,7230,2710,34,"No","Not Elite"
"University of Indianapolis",0.858103564223268,11120,388,69,"Yes","Not Elite"
"University of Kansas",0.64821074717333,6994,3681,57,"No","Not Elite"
"University of La Verne",0.606762680025047,13540,226,47,"Yes","Not Elite"
"University of Louisville",0.639941385806992,6540,1823,31,"No","Not Elite"
"University of Maine at Farmington",0.664735099337748,6810,438,59,"No","Not Elite"
"University of Maine at Machias",0.836734693877551,6600,172,64,"No","Not Elite"
"University of Maine at Presque Isle",0.82646420824295,6600,235,35,"No","Not Elite"
"University of Maryland at Baltimore County",0.607636448817053,8594,985,55,"No","Not Elite"
"University of Maryland at College Park",0.7217324377274,8723,3409,63,"No","Not Elite"
"University of Massachusetts at Amherst",0.859814378722815,8566,3816,68,"No","Not Elite"
"University of Massachusetts at Dartmouth",0.775918733193905,6919,1006,56,"No","Not Elite"
"University of Miami",0.756248244875035,16500,1643,59,"Yes","Not Elite"
"University of Michigan at Ann Arbor",0.675647451963241,15732,4893,87,"No","Elite"
"University of Minnesota at Duluth",0.745706106870229,8828,1656,53,"No","Not Elite"
"University of Minnesota at Morris",0.599451303155007,9843,588,51,"No","Elite"
"University of Minnesota Twin Cities",0.5787045413425,8949,3524,45,"No","Not Elite"
"University of Mississippi",0.880072840790843,4916,1669,53,"No","Not Elite"
"University of Missouri at Columbia",0.70535442652875,9057,2940,58,"No","Not Elite"
"University of Missouri at Rolla",0.972828982418753,9057,823,49,"No","Not Elite"
"University of Missouri at Saint Louis",0.705191594561187,7246,479,48,"No","Not Elite"
"University of Mobile",0.732300884955752,6150,269,52,"Yes","Not Elite"
"University of Montevallo",0.660251665433013,4440,570,51,"No","Not Elite"
"University of Nebraska at Lincoln",0.95634857415963,5595,3526,53,"No","Not Elite"
"University of New England",0.620347394540943,11450,265,64,"Yes","Not Elite"
"University of New Hampshire",0.783589743589744,11180,2529,75,"No","Not Elite"
"University of North Carolina at Asheville",0.557199772339215,5972,394,37,"No","Not Elite"
"University of North Carolina at Chapel Hill",0.410043847629488,8400,3331,83,"No","Elite"
"University of North Carolina at Charlotte",0.765293813544718,7248,1730,62,"No","Not Elite"
"University of North Carolina at Greensboro",0.79637834713928,8677,1500,53,"No","Not Elite"
"University of North Carolina at Wilmington",0.635150716521166,7558,1449,55,"No","Not Elite"
"University of North Dakota",0.809866762693554,5634,1652,49,"No","Not Elite"
"University of North Florida",0.696111111111111,6634,560,47,"No","Not Elite"
"University of North Texas",0.619511090991399,4104,2049,35,"No","Not Elite"
"University of Northern Colorado",0.724593128390597,7731,1697,40,"No","Not Elite"
"University of Northern Iowa",0.815395752895753,6197,1853,77,"No","Not Elite"
"University of Notre Dame",0.480519480519481,16850,1906,97,"Yes","Elite"
"University of Oklahoma",0.837022981235505,5173,2233,44,"No","Not Elite"
"University of Oregon",0.779979144942649,10602,2546,54,"No","Not Elite"
"University of Pennsylvania",0.422139745037922,17020,2464,93,"Yes","Elite"
"University of Pittsburgh-Main Campus",0.74341952014908,10786,2503,66,"No","Not Elite"
"University of Portland",0.844709897610922,12040,419,72,"Yes","Not Elite"
"University of Puget Sound",0.698813056379822,16230,688,63,"Yes","Elite"
"University of Rhode Island",0.803795499325936,10330,1968,63,"No","Not Elite"
"University of Richmond",0.461303462321792,14500,756,100,"Yes","Not Elite"
"University of Rochester",0.627195984485512,17840,1243,80,"Yes","Elite"
"University of San Diego",0.695221148957804,13600,886,66,"Yes","Not Elite"
"University of San Francisco",0.746313963573287,13226,538,62,"Yes","Not Elite"
"University of Sci. and Arts of Oklahoma",0.982456140350877,3687,208,43,"No","Not Elite"
"University of Scranton",0.658018340416014,11584,910,92,"Yes","Not Elite"
"University of South Carolina at Aiken",0.660377358490566,5800,377,48,"No","Not Elite"
"University of South Carolina at Columbia",0.755881970622644,8074,2328,63,"No","Not Elite"
"University of South Florida",0.616154961127948,6760,1876,47,"No","Not Elite"
"University of Southern California",0.694905552375501,17230,2477,68,"Yes","Not Elite"
"University of Southern Colorado",0.884368308351178,7100,605,36,"No","Not Elite"
"University of Southern Indiana",0.896595208070618,4973,1292,38,"No","Not Elite"
"University of Southern Mississippi",0.71719298245614,4652,1046,45,"No","Not Elite"
"University of St. Thomas MN",0.878463782207098,11712,828,89,"Yes","Not Elite"
"University of St. Thomas TX",0.748663101604278,8550,185,62,"Yes","Not Elite"
"University of Tennessee at Knoxville",0.718854543021544,5764,3013,53,"No","Not Elite"
"University of Texas at Arlington",0.779945138677233,4422,1448,29,"No","Not Elite"
"University of Texas at Austin",0.648861171366594,5130,5329,65,"No","Not Elite"
"University of Texas at San Antonio",0.73511975337918,4104,1686,50,"No","Not Elite"
"University of the Arts",0.722792607802875,12520,290,57,"Yes","Not Elite"
"University of the Pacific",0.812118747458316,16320,582,65,"Yes","Not Elite"
"University of the South",0.668512110726644,15350,326,82,"Yes","Not Elite"
"University of Tulsa",0.90946261682243,11750,696,47,"Yes","Not Elite"
"University of Utah",0.881452404317959,6857,2400,37,"No","Not Elite"
"University of Vermont",0.784027143416417,15516,1735,79,"No","Not Elite"
"University of Virginia",0.339705975140387,12212,2678,95,"No","Elite"
"University of Washington",0.551023609694878,8199,3343,65,"No","Not Elite"
"University of West Florida",0.804878048780488,6172,472,53,"No","Not Elite"
"University of Wisconsin-Stout",0.758195140763594,6704,1030,65,"No","Not Elite"
"University of Wisconsin-Superior",1,7032,342,36,"No","Not Elite"
"University of Wisconsin-Whitewater",0.845227272727273,6950,1472,67,"No","Not Elite"
"University of Wisconsin at Green Bay",0.804898298048983,6900,759,46,"No","Not Elite"
"University of Wisconsin at Madison",0.733642037447151,9096,4631,72,"No","Not Elite"
"University of Wisconsin at Milwaukee",0.721205186880244,8786,1930,38,"No","Not Elite"
"University of Wyoming",0.747166091670774,5988,1073,45,"No","Not Elite"
"Upper Iowa University",0.681749622926094,8840,192,78,"Yes","Not Elite"
"Ursinus College",0.733380986418871,14900,308,79,"Yes","Not Elite"
"Ursuline College",0.8,9600,86,68,"Yes","Not Elite"
"Valley City State University",0.934782608695652,4286,212,40,"No","Not Elite"
"Valparaiso University",0.832289156626506,11800,520,95,"Yes","Not Elite"
"Vanderbilt University",0.601976639712489,17865,1499,83,"Yes","Elite"
"Vassar College",0.528732394366197,18920,653,90,"Yes","Elite"
"Villanova University",0.720195901533703,15925,1477,96,"Yes","Not Elite"
"Virginia Commonwealth University",0.704614144670562,10217,1567,45,"No","Not Elite"
"Virginia State University",0.814419225634179,5587,704,31,"No","Not Elite"
"Virginia Tech",0.745863034623218,10260,4277,73,"No","Not Elite"
"Virginia Union University",0.871683811586356,7384,453,30,"Yes","Not Elite"
"Virginia Wesleyan College",0.612244897959184,10900,287,68,"Yes","Not Elite"
"Viterbo College",0.800618238021638,9140,271,73,"Yes","Not Elite"
"Voorhees College",0.686689419795222,4450,188,58,"Yes","Not Elite"
"Wabash College",0.77875,12925,256,72,"Yes","Not Elite"
"Wagner College",0.71680790960452,13500,417,75,"Yes","Not Elite"
"Wake Forest University",0.42254018724607,13850,903,89,"Yes","Elite"
"Walsh University",0.815018315018315,8670,477,68,"Yes","Not Elite"
"Warren Wilson College",0.706818181818182,10000,112,63,"Yes","Not Elite"
"Wartburg College",0.872461413484972,11600,345,67,"Yes","Not Elite"
"Washington and Jefferson College",0.842911877394636,16260,334,86,"Yes","Not Elite"
"Washington and Lee University",0.330618401206636,13750,425,90,"Yes","Elite"
"Washington College",0.779156327543424,15276,214,65,"Yes","Not Elite"
"Washington State University",0.892813455657492,8200,2440,56,"No","Not Elite"
"Washington University",0.687091716749412,18350,1254,90,"Yes","Elite"
"Wayne State College",1,2700,724,52,"No","Not Elite"
"Waynesburg College",0.821848739495798,8840,324,63,"Yes","Not Elite"
"Webber College",0.510714285714286,5590,79,90,"Yes","Not Elite"
"Webster University",0.694736842105263,9160,226,48,"Yes","Not Elite"
"Wellesley College",0.431433506044905,18345,579,91,"Yes","Elite"
"Wells College",0.754716981132076,14900,130,69,"Yes","Not Elite"
"Wentworth Institute of Technology",0.849324324324324,9850,452,64,"Yes","Not Elite"
"Wesley College",0.823469387755102,9890,350,84,"Yes","Not Elite"
"Wesleyan University",0.413453478625314,19130,712,92,"Yes","Elite"
"West Chester University of Penn.",0.544294063365118,7844,1372,52,"No","Not Elite"
"West Liberty State College",0.912371134020619,4470,478,60,"No","Not Elite"
"West Virginia Wesleyan College",0.893997445721584,14200,483,67,"Yes","Not Elite"
"Western Carolina University",0.781327543424318,6390,1057,55,"No","Not Elite"
"Western Maryland College",0.816597510373444,14510,278,60,"Yes","Not Elite"
"Western Michigan University",0.784444202029017,6940,2738,55,"No","Not Elite"
"Western New England College",0.891515151515151,8994,409,59,"Yes","Not Elite"
"Western State College of Colorado",0.600666173205033,5918,604,52,"No","Not Elite"
"Western Washington University",0.642213410237924,8124,1549,61,"No","Not Elite"
"Westfield State College",0.693548387096774,5542,825,65,"No","Not Elite"
"Westminster College MO",0.835347432024169,10720,184,62,"Yes","Not Elite"
"Westminster College",0.869477911646586,12065,377,80,"Yes","Not Elite"
"Westminster College of Salt Lake City",0.785169029443839,8820,213,50,"Yes","Not Elite"
"Westmont College",0.750526315789474,14320,351,87,"No","Not Elite"
"Wheaton College IL",0.642458100558659,11480,548,85,"Yes","Elite"
"Westminster College PA",0.789988492520138,18460,417,71,"Yes","Not Elite"
"Wheeling Jesuit College",0.83610188261351,10500,213,72,"Yes","Not Elite"
"Whitman College",0.536270822138635,16670,359,72,"Yes","Not Elite"
"Whittier College",0.635930993456276,16249,344,52,"Yes","Not Elite"
"Whitworth College",0.826048171275647,12660,372,80,"Yes","Not Elite"
"Widener University",0.697522206638616,12350,502,63,"Yes","Not Elite"
"Wilkes University",0.877375843041079,11150,434,67,"Yes","Not Elite"
"Willamette University",0.800361881785283,14800,395,68,"Yes","Not Elite"
"William Jewell College",0.825037707390649,10060,315,59,"Yes","Not Elite"
"William Woods University",0.927505330490405,10535,227,52,"Yes","Not Elite"
"Williams College",0.297419971333015,19629,526,99,"Yes","Elite"
"Wilson College",0.778443113772455,11428,46,67,"Yes","Not Elite"
"Wingate College",0.820823244552058,7820,383,91,"Yes","Not Elite"
"Winona State University",0.615639097744361,4200,1301,58,"No","Not Elite"
"Winthrop University",0.77801724137931,6400,769,59,"No","Not Elite"
"Wisconsin Lutheran College",0.842105263157895,9100,75,50,"Yes","Not Elite"
"Wittenberg University",0.878726629610915,15948,575,78,"Yes","Not Elite"
"Wofford College",0.622918054630247,12680,273,75,"Yes","Elite"
"Worcester Polytechnic Institute",0.835982658959538,15884,682,82,"Yes","Not Elite"
"Worcester State College",0.689576695493855,6797,543,40,"No","Not Elite"
"Xavier University",0.921388463501787,11520,695,83,"Yes","Not Elite"
"Xavier University of Louisiana",0.913209346685741,6900,695,49,"Yes","Not Elite"
"Yale University",0.229145259224661,19840,1317,99,"Yes","Elite"
"York College of Pennsylvania",0.620608899297424,4990,691,99,"Yes","Not Elite"
